Data Generated by Optosky
File Version;1.2
Name;s28_102_2601150947473 350mw 3000ms
Creator;admin
Description;
Created;1/15/2026 9:47:47 AM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;100
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
246;842.9806;51936.6000;43421.6000;8515.0000;212.3512
247;845.4965;46129.4000;37697.4000;8432.0000;152.9819
248;848.0113;45990.6000;37748.0000;8242.6000;0.0000
249;850.5251;47023.0000;38540.4000;8482.6000;251.9771
250;853.0379;51244.2000;42609.0000;8635.2000;427.6452
251;855.5495;47743.6000;39640.2000;8103.4000;0.0000
252;858.0602;48167.0000;39924.6000;8242.4000;81.4064
253;860.5697;49721.4000;41162.2000;8559.2000;421.2874
254;863.0783;45340.4000;37102.0000;8238.4000;122.8533
255;865.5857;46862.6000;38829.0000;8033.6000;0.0000
256;868.0921;47564.6000;39412.0000;8152.6000;79.6587
257;870.5975;47505.2000;39223.2000;8282.0000;229.5624
258;873.1018;47577.0000;39261.6000;8315.4000;284.1630
259;875.6051;43178.8000;34845.2000;8333.6000;325.0860
260;878.1073;47235.8000;39072.0000;8163.8000;174.1573
261;880.6084;48260.8000;40256.2000;8004.6000;34.4851
262;883.1085;48195.6000;40250.8000;7944.8000;0.0000
263;885.6076;51623.0000;43719.8000;7903.2000;0.0000
264;888.1056;50386.8000;42713.6000;7673.2000;0.0000
265;890.6026;44181.4000;36065.0000;8116.4000;219.3850
266;893.0985;44542.8000;36668.6000;7874.2000;0.0000
267;895.5933;49180.8000;41006.6000;8174.2000;313.9422
268;898.0872;45630.6000;37710.2000;7920.4000;78.3709
269;900.5799;46415.4000;38479.2000;7936.2000;114.1149
270;903.0717;48628.0000;40838.6000;7789.4000;0.0000
271;905.5623;50741.8000;42639.0000;8102.8000;317.4511
272;908.0520;43189.0000;35165.8000;8023.2000;255.6088
273;910.5405;44476.0000;36736.8000;7739.2000;0.0000
274;913.0281;45753.4000;37887.6000;7865.8000;133.0810
275;915.5146;46627.4000;38866.2000;7761.2000;45.4653
276;918.0000;44297.0000;36308.8000;7988.2000;289.5220
277;920.4844;43818.6000;35796.6000;8022.0000;340.5805
278;922.9678;44293.4000;36356.0000;7937.4000;272.5715
279;925.4501;44999.0000;37095.0000;7904.0000;255.5313
280;927.9313;44514.6000;36622.0000;7892.6000;260.3529
281;930.4116;48568.0000;40625.0000;7943.0000;326.8162
282;932.8907;47333.6000;39631.0000;7702.6000;102.1695
283;935.3689;45903.2000;38087.2000;7816.0000;230.6133
284;937.8460;45354.6000;37385.0000;7969.6000;400.6889
285;940.3220;46420.2000;38669.2000;7751.0000;198.4606
286;942.7970;48339.4000;40755.6000;7583.8000;46.7825
287;945.2710;49106.0000;41329.2000;7776.8000;254.7117
288;947.7440;41471.6000;33662.6000;7809.0000;302.7960
289;950.2158;44145.0000;36744.4000;7400.6000;0.0000
290;952.6867;47135.8000;39745.4000;7390.4000;0.0000
291;955.1565;46945.6000;39306.8000;7638.8000;181.3127
292;957.6253;45079.8000;37437.8000;7642.0000;200.8778
293;960.0930;46335.0000;38747.0000;7588.0000;163.1311
294;962.5597;46134.2000;38547.6000;7586.6000;177.9313
295;965.0254;41745.4000;34173.6000;7571.8000;179.4775
296;967.4900;44520.6000;37199.2000;7321.4000;0.0000
297;969.9536;46454.2000;39013.8000;7440.4000;80.9828
298;972.4161;43578.8000;35957.4000;7621.4000;278.3298
299;974.8776;46220.6000;38662.4000;7558.2000;231.4052
300;977.3381;45771.8000;38278.4000;7493.4000;182.7300
301;979.7975;45906.6000;38556.8000;7349.8000;54.8883
302;982.2559;49463.4000;41735.2000;7728.2000;449.1158
303;984.7133;44473.2000;37001.6000;7471.6000;208.1543
304;987.1696;46152.0000;38849.8000;7302.2000;54.0042
305;989.6249;46776.8000;39549.0000;7227.8000;0.0000
306;992.0792;49184.8000;41666.6000;7518.2000;299.8420
307;994.5324;41027.6000;33562.8000;7464.8000;262.1929
308;996.9846;43183.2000;36072.6000;7110.6000;0.0000
309;999.4358;46283.2000;38982.8000;7300.4000;128.8987
310;1001.8859;47235.2000;40022.4000;7212.8000;56.8519
311;1004.3350;45843.0000;38582.6000;7260.4000;119.8026
312;1006.7831;45008.8000;37554.0000;7454.8000;329.6400
313;1009.2301;45513.8000;38037.6000;7476.2000;366.4268
314;1011.6762;45232.2000;37753.2000;7479.0000;384.5609
315;1014.1211;45104.2000;37751.8000;7352.4000;273.2419
316;1016.5651;45438.8000;38092.6000;7346.2000;282.2889
317;1019.0080;44420.2000;37222.8000;7197.4000;148.7116
318;1021.4499;47263.8000;40000.8000;7263.0000;229.5174
319;1023.8907;46980.6000;39882.8000;7097.8000;79.5302
320;1026.3306;49070.4000;41744.4000;7326.0000;324.1871
321;1028.7694;44403.0000;37039.8000;7363.2000;377.5976
322;1031.2071;43512.6000;36169.6000;7343.0000;385.8391
323;1033.6439;43861.6000;36603.2000;7258.4000;316.4709
324;1036.0796;43859.8000;36633.4000;7226.4000;300.9429
325;1038.5143;45380.8000;38255.0000;7125.8000;215.5404
326;1040.9480;44388.0000;37310.0000;7078.0000;183.9957
